Id,LotFrontage,LotArea,LandContour,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearRemodAdd,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,LowQualFinSF,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageCars,PavedDrive,houseAge_fg,totBaths_fg,totFlrSF_fg,totLot_fg,garageAge_fg,SalePrice
1,65.0,8450,Lvl,CollgCr,Norm,Norm,2Story,7,5,2003,Gd,GLQ,706.0,0.0,150.0,856.0,Y,0,1710,Gd,8,Attchd,RFn,2.0,Y,5,3.5,1710,8515.0,5.0,208500
2,80.0,9600,Lvl,Veenker,Feedr,Norm,1Story,6,8,1976,Gd,ALQ,978.0,0.0,284.0,1262.0,Y,0,1262,TA,6,Attchd,RFn,2.0,Y,31,2.5,1262,9680.0,31.0,181500
3,68.0,11250,Lvl,CollgCr,Norm,Norm,2Story,7,5,2002,Gd,GLQ,486.0,0.0,434.0,920.0,Y,0,1786,Gd,6,Attchd,RFn,2.0,Y,7,3.5,1786,11318.0,7.0,223500
4,60.0,9550,Lvl,Crawfor,Norm,Norm,2Story,7,5,1970,TA,ALQ,216.0,0.0,540.0,756.0,Y,0,1717,Gd,7,Detchd,Unf,3.0,Y,91,2.0,1717,9610.0,8.0,140000
5,84.0,14260,Lvl,NoRidge,Norm,Norm,2Story,8,5,2000,Gd,GLQ,655.0,0.0,490.0,1145.0,Y,0,2198,Gd,9,Attchd,RFn,3.0,Y,8,3.5,2198,14344.0,8.0,250000
6,85.0,14115,Lvl,Mitchel,Norm,Norm,1.5Fin,5,5,1995,Gd,GLQ,732.0,0.0,64.0,796.0,Y,0,1362,TA,5,Attchd,Unf,2.0,Y,16,2.5,1362,14200.0,16.0,143000
7,75.0,10084,Lvl,Somerst,Norm,Norm,1Story,8,5,2005,Ex,GLQ,1369.0,0.0,317.0,1686.0,Y,0,1694,Gd,7,Attchd,RFn,2.0,Y,3,3.0,1694,10159.0,3.0,307000
8,68.0,10382,Lvl,NWAmes,PosN,Norm,2Story,7,6,1973,Gd,ALQ,859.0,32.0,216.0,1107.0,Y,0,2090,TA,7,Attchd,RFn,2.0,Y,36,3.5,2090,10450.0,36.0,200000
9,51.0,6120,Lvl,OldTown,Artery,Norm,1.5Fin,7,5,1950,TA,Unf,0.0,0.0,952.0,952.0,Y,0,1774,TA,8,Detchd,Unf,2.0,Y,77,2.0,1774,6171.0,77.0,129900
10,50.0,7420,Lvl,BrkSide,Artery,Artery,1.5Unf,5,6,1950,TA,GLQ,851.0,0.0,140.0,991.0,Y,0,1077,TA,5,Attchd,RFn,1.0,Y,69,2.0,1077,7470.0,69.0,118000
11,70.0,11200,Lvl,Sawyer,Norm,Norm,1Story,5,5,1965,TA,Rec,906.0,0.0,134.0,1040.0,Y,0,1040,TA,5,Detchd,Unf,1.0,Y,43,2.0,1040,11270.0,43.0,129500
12,85.0,11924,Lvl,NridgHt,Norm,Norm,2Story,9,5,2006,Ex,GLQ,998.0,0.0,177.0,1175.0,Y,0,2324,Ex,11,BuiltIn,Fin,3.0,Y,1,4.0,2324,12009.0,1.0,345000
13,68.0,12968,Lvl,Sawyer,Norm,Norm,1Story,5,6,1962,TA,ALQ,737.0,0.0,175.0,912.0,Y,0,912,TA,4,Detchd,Unf,1.0,Y,46,2.0,912,13036.0,46.0,144000
14,91.0,10652,Lvl,CollgCr,Norm,Norm,1Story,7,5,2007,Gd,Unf,0.0,0.0,1494.0,1494.0,Y,0,1494,Gd,7,Attchd,RFn,3.0,Y,1,2.0,1494,10743.0,1.0,279500
15,68.0,10920,Lvl,NAmes,Norm,Norm,1Story,6,5,1960,TA,BLQ,733.0,0.0,520.0,1253.0,Y,0,1253,TA,5,Attchd,RFn,1.0,Y,48,2.5,1253,10988.0,48.0,157000
16,51.0,6120,Lvl,BrkSide,Norm,Norm,1.5Unf,7,8,2001,TA,Unf,0.0,0.0,832.0,832.0,Y,0,854,TA,5,Detchd,Unf,2.0,Y,78,1.0,854,6171.0,16.0,132000
